2026-06-11 09:27:57,709 [INFO] ======================================================================
2026-06-11 09:27:57,709 [INFO] S6r A4 ablation — conds=['C2_A4', 'C3_A4'], K=121, n_trials=100, n_workers=8
2026-06-11 09:27:57,709 [INFO] ======================================================================
2026-06-11 09:27:57,712 [INFO] [c3-check] C3 seed=1000 を A4 分岐追加後 code で実行
2026-06-11 09:29:44,604 [INFO] [c3-check] rt_df: MATCH | lifetimes: MATCH
2026-06-11 09:29:44,604 [INFO] [smoke] C3_A4 seed=1000 K=121 を 1 run
2026-06-11 09:31:17,850 [INFO] [smoke] PASS: runtime=93.1s n_rt=3669 n_sub=58 n_shuffles=12
2026-06-11 09:31:17,851 [INFO] [guard] C3_A4 seed=1000 × 2 runs (K=121)
2026-06-11 09:34:25,767 [INFO] [guard] rt_df: MATCH | lifetimes: MATCH
2026-06-11 09:34:25,768 [INFO] [parallel] cond=C2_A4 n_seeds=100 n_workers=8 out=/Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/data/C2_A4
2026-06-11 11:36:21,403 [INFO] [parallel] C3_A4 seed=1090 done (92/100): runtime=336.4s n_rt=5,297 n_sub=71
2026-06-11 11:36:26,615 [INFO] [parallel] C3_A4 seed=1087 done (93/100): runtime=510.7s n_rt=4,625 n_sub=58
2026-06-11 11:37:05,300 [INFO] [parallel] C3_A4 seed=1093 done (94/100): runtime=341.1s n_rt=4,911 n_sub=70
2026-06-11 11:38:47,185 [INFO] [parallel] C3_A4 seed=1097 done (95/100): runtime=148.7s n_rt=4,534 n_sub=64
2026-06-11 11:38:56,324 [INFO] [parallel] C3_A4 seed=1088 done (96/100): runtime=592.0s n_rt=6,586 n_sub=74
2026-06-11 11:40:05,359 [INFO] [parallel] C3_A4 seed=1099 done (97/100): runtime=223.7s n_rt=3,826 n_sub=60
2026-06-11 11:40:25,649 [INFO] [parallel] C3_A4 seed=1098 done (98/100): runtime=246.6s n_rt=5,068 n_sub=72
2026-06-11 11:40:26,502 [INFO] [parallel] C3_A4 seed=1095 done (99/100): runtime=408.2s n_rt=6,033 n_sub=77
2026-06-11 11:42:32,550 [INFO] [parallel] C3_A4 seed=1096 done (100/100): runtime=415.4s n_rt=4,580 n_sub=65
2026-06-11 11:42:32,589 [INFO] [parallel] cond=C3_A4 all done: total=4152.5s, throughput=0.02 trial/s
2026-06-11 11:42:32,591 [INFO] summary written: /Users/hasegawayuito/Documents/GitHub/speculation-game-info/experiments/YH006_1/logs/S6r_mac_summary.json
2026-06-11 11:42:32,591 [INFO] ======================================================================
2026-06-11 11:42:32,591 [INFO] S6r A4 ensemble (sim part) complete. git add data/ logs/ && commit && push
2026-06-11 11:42:32,591 [INFO] ======================================================================
